Manufactorer,Model,Manufactured_Year,Supply_Score
רנו,MEGANE II,2005,0
רנו,מגאן TR 0.2אוטמטי 4,1999,0
רנו,טווינגו 3 דלת' חצי א,1999,1
רנו,SCENIC II,2006,0
רנו,SCENIC,2004,1
רנו,91 אוט' AD.NR I8.1 4,1996,0
רנו,FLUENCE,2012,14
רנו,SCENIC,2012,4
רנו,MEGANE II,2004,0
רנו,CLIO II,2004,10
רנו,MEGANE II,2006,1
רנו,MEGANE,2000,0
רנו,FLUENCE,2013,11
רנו,MEGANE II,2007,0
רנו,SCENIC,2001,0
רנו,KANGOO,2007,0
רנו,SYMBOL,2008,0
רנו,KANGOO,2002,2
רנו,FLUENCE,2011,19
רנו,SCENIC II,2007,4
רנו,CLIO,2015,11
רנו,FLUENCE Z.E.,2012,27
רנו,MEGANE,2013,43
רנו,MEGANE II,2005,1
רנו,CAPTUR,2014,316
רנו,CLIO B,2002,9
רנו,FLUENCE,2012,1
רנו,CLIO B,2001,7
רנו,MEGANE,2001,0
רנו,CLIO,2015,21
רנו,MEGANE II,2005,2
רנו,מגאן TR-L2 V61 EPUOC,1999,0
רנו,TRAFIC,2008,6
רנו,KANGOO,2002,9
רנו,FLUENCE,2014,515
רנו,MEGANE,2002,7
רנו,FLUENCE,2014,12
רנו,MEGANE,2002,2
רנו,KANGOO 2,2011,36
רנו,SCENIC II,2004,0
רנו,FLUENCE,2011,244
רנו,KANGOO,2005,49
רנו,MEGANE II,2007,7
רנו,FLUENCE,2009,104
רנו,MEGANE,2014,52
רנו,GRAND SCENIC,2013,42
רנו,91 NR I4.1 5 דלתות,1996,0
רנו,GEREND SCENIC,2007,1
רנו,LAGUNA,2000,0
רנו,FLUENCE,2013,2
רנו,CLIO B,2000,0
רנו,TRAFIC,2007,2
רנו,CLIO,2015,134
רנו,MEGANE,2014,30
רנו,MEGANE II,2006,0
רנו,FLUENCE,2014,394
רנו,MEGANE,2013,7
רנו,MEGANE,2004,1
רנו,KOLEOS,2009,0
רנו,FLUENCE,2013,23
רנו,מגאן TR 6.1 אוטו 5 ד,1999,0
רנו,LAGUNA,2003,1
רנו,CLIO,2013,156
רנו,TRHFIC,2010,1
רנו,GEREND SCENIC,2007,1
רנו,קליאו 3 ITR אוטומט',1997,2
רנו,MEGANE,2014,47
רנו,מגאן NR6.1 אוט EPUOC,1996,1
רנו,MEGANE,2001,14
רנו,MEGANE II,2007,60
רנו,MEGANE,2002,0
רנו,MEGANE,2015,24
רנו,TRAFIC,2009,7
רנו,CLIO,2013,1
רנו,CLIO,2015,8
רנו,KANGOO 2,2009,1
רנו,SANDERO,2009,0
רנו,TRAFIC,2014,22
רנו,MEGANE,2014,1
רנו,MEGANE II,2004,1
רנו,KANGOO 2,2010,0
רנו,FLUENCE,2012,20
רנו,רנו מגאן קלאסיק NR D,1998,0
רנו,MEGANE II,2007,0
רנו,1TRAFIC,2006,1
רנו,MEGANE II,2008,853
רנו,FLUENCE,2013,28
רנו,CLIO,2014,20
רנו,MEGANE II,2006,0
רנו,FLUENCE,2014,0
רנו,FLUENCE,2011,0
רנו,KANGOO,2002,0
רנו,KANGOO,2012,138
רנו,CLIO B,1999,1
רנו,מאגן TR אוט' 6.1 4דל,1998,1
רנו,TRAFIC,2015,2
רנו,CLIO B,2001,0
רנו,SCENIC,2003,3
רנו,קליאו 3 ITR אוטו'+כ',1996,0
רנו,1TRAFIC,2005,0
רנו,FLUENCE,2013,5
רנו,MEGANE,2003,0
רנו,SCENIC,2012,194
רנו,MEGANE II,2006,81
רנו,FLUENCE,2015,158
רנו,TRAFIC,2014,19
רנו,CLIO B,2001,2
רנו,TRAFIC,2009,5
רנו,FLUENCE,2015,120
רנו,FLUENCE,2012,144
רנו,מגאן LR4.1 4דלתות,1998,0
רנו,CLIO II,2003,6
רנו,CLIO II,2004,2
רנו,TRAFIC,2012,6
רנו,KANGOO,2012,13
רנו,מגאן LR4.1 4דלתות,1996,0
רנו,MEGANE II,2007,0
רנו,SCENIC II,2007,0
רנו,LATITUDE,2013,79
רנו,KANGOO,2013,121
רנו,LOGAN,2010,262
רנו,MEGANE II,2005,2
רנו,KANGOO,1999,0
רנו,KANGOO,2012,62
רנו,MASTER,1999,0
רנו,קליאו 3 EZILA אוטו',1998,1
רנו,CLIO B,2001,3
רנו,MEGANE,2014,12
רנו,91 NR I4.1 5 דלתות,1996,1
רנו,FLUENCE,2015,70
רנו,CAPTUR,2015,13
רנו,FLUENCE,2010,474
רנו,1TRAFIC,2005,3
רנו,מגאן NR 6.1 אוטו' EP,1998,0
רנו,MEGANE,2003,6
רנו,MEGANE II,2005,1
רנו,MEGANE,2015,0
רנו,רנו מגאן קלאסיק NR D,1997,0
רנו,TRAFIC,2012,0
רנו,MEGANE,2010,146
רנו,KANGOO,2001,4
רנו,MEGANE II,2004,0
רנו,CLIO,2014,469
רנו,CAPTUR,2015,136
רנו,MEGANE II,2006,6
רנו,MEGANE,2001,0
רנו,MEGANE,1999,0
רנו,SCENIC II,2005,20
רנו,SCENIC II,2006,9
רנו,91 אוטו AD.NR I4.1 4,1996,0
רנו,SCENIC,2003,0
רנו,91 אוט AD.TR I8.1 4ד,1996,0
רנו,MEGANE II,2006,0
רנו,CLIO III,2012,3
רנו,MEGANE II,2004,5
רנו,MEGANE,2015,93
רנו,MEGANE II,2009,29
רנו,מגאן NR 4.1 5 דלתות,1996,2
רנו,MEGANE II,2006,0
רנו,KANGOO,2013,4
רנו,MEGANE II,2006,62
רנו,FLUENCE,2011,1168
רנו,KANGOO,1999,7
רנו,KANGOO,2001,4
רנו,KANGOO 2,2010,24
רנו,MEGANE,2004,0
רנו,מגאן+TR 6.1 אוט 5 דל,1996,0
רנו,KANGOO,2000,0
רנו,TRAFIC,2012,26
רנו,MEGANE,2000,0
רנו,TRAFIC,2014,19
רנו,CLIO B,2001,5
רנו,MEGANE II,2005,2
רנו,CAPTUR,2015,4
רנו,MEGANE II,2006,15
רנו,MEGANE,2003,1
רנו,KANGOO,1999,0
רנו,GEREND SCENIC,2010,28
רנו,FLUENCE Z.E.,2011,0
רנו,TRAFIC,2011,0
רנו,MEGANE II,2006,0
רנו,FLUENCE,2010,1293
רנו,GEREND SCENIC,2005,1
רנו,SCENIC II,2005,7
רנו,TRAFIC,2015,6
רנו,KANGOO,2003,0
רנו,CLIO II,2002,10
רנו,91 PH011 ITR 8.1 4 ד,1996,0
רנו,MEGANE,2001,0
רנו,MEGANE,1999,0
רנו,FLUENCE Z.E.,2014,1
רנו,מגאן סיניק אוט' TR L,1998,0
